2018-12-18 19:21  7843M  6119M  21.9%  15.6%
2018-12-18 20:06  927M  849M  8.4%  6.1%
2018-12-18 20:06  927M  850M  8.3%  6.1%
2018-12-18 20:06  927M  850M  8.3%  6.1%
2018-12-18 20:06  927M  850M  8.3%  6.1%
2018-12-18 20:07  927M  850M  8.3%  6.1%
2018-12-18 20:07  927M  850M  8.3%  6.1%
2018-12-18 20:10  927M  848M  8.5%  6.2%
2018-12-18 20:10  927M  850M  8.3%  6.1%
2018-12-18 20:10  927M  849M  8.4%  6.1%
2018-12-18 20:10  927M  850M  8.3%  6.1%
2018-12-18 20:10  927M  850M  8.3%  6.1%
2018-12-18 20:31  927M  842M  9.1%  6.6%
2018-12-18 20:32  927M  844M  8.9%  6.5%
2018-12-18 20:32  927M  844M  8.9%  6.5%
2018-12-18 20:32  927M  844M  8.9%  6.5%
2018-12-18 20:34  927M  842M  9.1%  6.6%
2018-12-18 20:34  927M  844M  8.9%  6.5%
2018-12-18 20:34  927M  844M  8.9%  6.5%
2018-12-18 20:34  927M  844M  8.9%  6.5%
2018-12-18 20:34  927M  844M  8.9%  6.5%
2018-12-18 20:34  927M  844M  8.9%  6.5%
2018-12-18 20:38  927M  844M  8.9%  6.5%
2018-12-18 20:38  927M  846M  8.7%  6.3%
2018-12-18 20:38  927M  846M  8.7%  6.3%
2018-12-18 20:39  927M  846M  8.7%  6.3%
2018-12-18 20:39  927M  846M  8.7%  6.3%
2018-12-18 20:39  927M  846M  8.7%  6.3%
2018-12-18 20:39  927M  846M  8.7%  6.3%
2018-12-20 18:06  927M  849M  8.4%  6.1%
2018-12-20 18:06  927M  851M  8.1%  5.9%
2018-12-20 18:06  927M  852M  8.0%  5.9%
2018-12-20 18:06  927M  851M  8.1%  5.9%
2018-12-20 18:06  927M  852M  8.0%  5.9%
2018-12-20 18:07  927M  851M  8.1%  5.9%
2018-12-20 18:07  927M  851M  8.1%  5.9%
2018-12-20 18:07  927M  851M  8.1%  5.9%
2018-12-20 18:07  927M  851M  8.1%  5.9%
2018-12-20 18:07  927M  852M  8.0%  5.9%
2018-12-20 18:07  927M  851M  8.1%  5.9%
2018-12-20 18:07  927M  849M  8.4%  6.1%
2018-12-20 18:07  927M  849M  8.4%  6.1%
2018-12-20 18:07  927M  848M  8.5%  6.2%
2018-12-20 18:07  927M  848M  8.5%  6.2%
2018-12-20 18:07  927M  849M  8.4%  6.1%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  850M  8.3%  6.1%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  851M  8.1%  5.9%
2018-12-20 18:08  927M  848M  8.5%  6.2%
2018-12-20 18:09  927M  849M  8.4%  6.1%
2018-12-20 18:09  927M  854M  7.8%  5.7%
2018-12-20 18:09  927M  853M  7.9%  5.8%
2018-12-20 18:09  927M  854M  7.8%  5.7%
2018-12-20 18:09  927M  854M  7.8%  5.7%
2018-12-20 18:09  927M  853M  7.9%  5.8%
2018-12-20 18:09  927M  853M  7.9%  5.8%
2018-12-20 18:09  927M  853M  7.9%  5.8%
2018-12-20 18:09  927M  850M  8.3%  6.1%
2018-12-20 18:11  927M  843M  9.0%  6.6%
2018-12-20 18:11  927M  844M  8.9%  6.5%
2018-12-20 18:11  927M  845M  8.8%  6.4%
2018-12-20 18:12  927M  839M  9.4%  6.8%
2018-12-20 18:12  927M  839M  9.4%  6.8%
2018-12-20 18:12  927M  840M  9.3%  6.8%
2018-12-20 18:13  927M  840M  9.3%  6.8%
2018-12-20 18:13  927M  839M  9.4%  6.8%
2018-12-20 18:13  927M  840M  9.3%  6.8%
2018-12-20 18:13  927M  840M  9.3%  6.8%
2018-12-20 18:13  927M  838M  9.6%  7.0%
2018-12-20 18:13  927M  838M  9.6%  7.0%
2018-12-20 18:13  927M  837M  9.7%  7.0%
2018-12-20 18:13  927M  837M  9.7%  7.0%
2018-12-20 18:14  927M  838M  9.6%  7.0%
2018-12-20 18:14  927M  838M  9.6%  7.0%
2018-12-20 18:14  927M  838M  9.6%  7.0%
2018-12-20 18:14  927M  839M  9.4%  6.8%
2018-12-20 18:14  927M  838M  9.6%  7.0%
2018-12-20 18:14  927M  839M  9.4%  6.8%
2018-12-20 18:14  927M  834M  10.0%  7.3%
2018-12-20 18:14  927M  834M  10.0%  7.3%
2018-12-20 18:14  927M  834M  10.0%  7.3%
2018-12-20 18:14  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  833M  10.1%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  834M  10.0%  7.3%
2018-12-20 18:15  927M  833M  10.1%  7.3%
2018-12-20 18:15  927M  836M  9.8%  7.1%
2018-12-20 18:15  927M  835M  9.9%  7.2%
2018-12-20 18:15  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  835M  9.9%  7.2%
2018-12-20 18:16  927M  835M  9.9%  7.2%
2018-12-20 18:16  927M  835M  9.9%  7.2%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:16  927M  837M  9.7%  7.0%
2018-12-20 18:16  927M  836M  9.8%  7.1%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  836M  9.8%  7.1%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  835M  9.9%  7.2%
2018-12-20 18:17  927M  836M  9.8%  7.1%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
