2018-12-18__20:06 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 3 minutes] [0.07,0.09,0.09] 29941M 75.4% 927M 8.4%  normal warning normal
2018-12-18__20:10 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 6 minutes] [0.07,0.11,0.09] 29941M 75.4% 927M 8.4%  normal warning normal
2018-12-18__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 28 minutes] [0.62,0.24,0.15] 29941M 75.4% 927M 9.0%  normal warning normal
2018-12-18__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 30 minutes] [0.26,0.22,0.15] 29941M 75.4% 927M 9.1% 46160 normal warning normal
2018-12-18__20:38 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 35 minutes] [0.16,0.15,0.13] 29941M 75.4% 927M 8.8% 47236 normal warning normal
2018-12-20__18:06 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 3 minutes] [0.05,0.06,0.06] 29941M 75.4% 927M 8.3% 48312 normal warning normal
2018-12-20__18:07 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 4 minutes] [0.15,0.08,0.06] 29941M 75.4% 927M 8.4% 48312 normal warning normal
2018-12-20__18:08 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 5 minutes] [0.24,0.11,0.08] 29941M 75.4% 927M 8.1% 48312 normal warning normal
2018-12-20__18:09 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 6 minutes] [0.35,0.17,0.10] 29941M 75.4% 927M 7.9% 48312 normal note normal
2018-12-20__18:11 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 8 minutes] [0.09,0.16,0.10] 29941M 75.4% 927M 9.0% 48312 normal warning normal
2018-12-20__18:12 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 8 minutes] [0.10,0.15,0.10] 29941M 75.4% 927M 9.3% 49388 normal warning normal
2018-12-20__18:12 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 9 minutes] [0.37,0.20,0.12] 29941M 75.4% 927M 9.4% 49925 normal warning normal
2018-12-20__18:13 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 9 minutes] [0.22,0.18,0.11] 29941M 75.4% 927M 9.4% 49388 normal warning normal
2018-12-20__18:14 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 10 minutes] [0.37,0.22,0.13] 29941M 75.4% 927M 9.6% 49925 normal warning normal
2018-12-20__18:15 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 12 minutes] [0.68,0.32,0.16] 29941M 75.4% 927M 10.0% 49388 normal normal normal
2018-12-20__18:16 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 13 minutes] [0.34,0.30,0.17] 29941M 75.4% 927M 9.8% 49388 normal warning normal
2018-12-20__18:17 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 14 minutes] [0.45,0.34,0.19] 29941M 75.4% 927M 9.8% 48312 normal warning normal
2018-12-20__18:18 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 15 minutes] [0.25,0.29,0.18] 29941M 75.4% 927M 9.8% 48312 normal warning normal
2018-12-20__18:19 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 16 minutes] [0.09,0.23,0.17] 29941M 75.4% 927M 9.7% 48312 normal warning normal
2018-12-20__18:20 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 17 minutes] [0.28,0.26,0.18] 29941M 75.4% 927M 9.8% 48312 normal warning normal
2018-12-20__18:21 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 18 minutes] [0.48,0.32,0.21] 29941M 75.4% 927M 9.8% 48312 normal warning normal
2018-12-20__18:22 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 19 minutes] [0.22,0.27,0.19] 29941M 75.4% 927M 9.8% 49388 normal warning normal
2018-12-20__18:23 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 20 minutes] [0.26,0.28,0.20] 29941M 75.4% 927M 9.3% 48312 normal warning normal
2018-12-20__18:24 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 21 minutes] [0.09,0.23,0.18] 29941M 75.4% 927M 9.6% 48312 normal warning normal
2018-12-20__18:25 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 22 minutes] [0.17,0.22,0.18] 29941M 75.4% 927M 9.7% 48312 normal warning normal
