2018-12-18__20:38 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 3 days, 11 hours, 35 minutes] [0.23,0.09,0.06] 29941M 52.2% 927M 9.2% 39704 normal warning normal
2018-12-20__18:08 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 5 minutes] [0.71,0.34,0.14] 29941M 52.2% 927M 13.0% 41856 normal normal normal
2018-12-20__18:09 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 6 minutes] [0.48,0.34,0.15] 29941M 52.2% 927M 8.4% 41856 normal warning normal
2018-12-20__18:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 27 minutes] [0.20,0.15,0.16] 29941M 52.2% 927M 9.2% 42394 normal warning normal
2018-12-20__18:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 28 minutes] [0.39,0.24,0.19] 29941M 52.2% 927M 9.1% 41856 normal warning normal
2018-12-20__18:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 29 minutes] [0.26,0.23,0.19] 29941M 52.2% 927M 9.2% 41318 normal warning normal
2018-12-20__18:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 30 minutes] [0.14,0.20,0.18] 29941M 52.2% 927M 9.2% 41318 normal warning normal
2018-12-20__18:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 31 minutes] [0.31,0.23,0.19] 29941M 52.2% 927M 9.1% 41856 normal warning normal
2018-12-20__18:52 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 49 minutes] [0.08,0.20,0.18] 29941M 52.2% 927M 10.2% 42932 normal normal normal
2018-12-20__18:53 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 50 minutes] [0.29,0.23,0.19] 29941M 52.2% 927M 10.1% 41856 normal normal normal
2018-12-20__18:54 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 51 minutes] [0.14,0.20,0.18] 29941M 52.2% 927M 10.1% 41856 normal normal normal
2018-12-20__18:55 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 52 minutes] [0.51,0.31,0.22] 29941M 52.2% 927M 10.1% 41318 normal normal normal
2018-12-20__19:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 10 hours, 31 minutes] [0.20,0.19,0.13] 29941M 52.2% 927M 10.6% 42932 normal normal normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.27,0.21,0.17] 29941M 48.2% 927M 9.4% 48312 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.25,0.20,0.17] 29941M 48.2% 927M 9.3% 48850 normal warning normal
