2018-12-23__15:10 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 8 minutes] [0.56,0.64,0.59] 29941M 46.8% 927M 13.3% 56920 normal normal note
2018-12-23__15:11 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 9 minutes] [0.46,0.60,0.58] 29941M 46.8% 927M 13.4% 56382 normal normal note
2018-12-23__15:12 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 10 minutes] [1.36,0.80,0.65] 29941M 46.8% 927M 13.3% 56382 normal normal note
2018-12-23__15:14 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 11 minutes] [0.78,0.74,0.64] 29941M 46.8% 927M 13.5% 56920 normal normal note
2018-12-23__15:15 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 12 minutes] [0.67,0.74,0.64] 29941M 46.8% 927M 13.4% 54768 normal normal note
2018-12-23__15:16 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 13 minutes] [0.47,0.68,0.63] 29941M 46.8% 927M 13.4% 56920 normal normal note
2018-12-23__15:17 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 14 minutes] [0.62,0.70,0.64] 29941M 46.8% 927M 13.7% 57458 normal normal note
2018-12-23__15:18 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 15 minutes] [0.53,0.66,0.63] 29941M 46.8% 927M 13.7% 55843 normal normal note
2018-12-23__15:19 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 16 minutes] [0.78,0.70,0.64] 29941M 46.8% 927M 13.7% 55843 normal normal note
2018-12-23__15:20 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 17 minutes] [0.79,0.71,0.65] 29941M 46.8% 927M 14.0% 59072 normal normal note
2018-12-23__15:21 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 18 minutes] [0.41,0.61,0.62] 29941M 46.8% 927M 14.0% 55306 normal normal note
