2018-12-23__09:14 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 1 week, 9 minutes] [0.17,0.49,0.53] 41514M 40.9% 7843M 24.0% 27800 normal normal normal
2018-12-23__15:12 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 9 minutes] [0.74,0.74,0.69] 29941M 47.4% 927M 15.2% 56920 normal normal note
2018-12-23__15:13 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 10 minutes] [0.96,0.80,0.71] 29941M 47.4% 927M 14.8% 54768 normal normal note
2018-12-23__15:15 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 11 minutes] [0.67,0.75,0.70] 29941M 47.4% 927M 15.3% 54230 normal normal note
2018-12-23__15:16 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 12 minutes] [0.65,0.74,0.70] 29941M 47.4% 927M 15.3% 55306 normal normal note
2018-12-23__15:17 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 13 minutes] [0.90,0.79,0.73] 29941M 47.4% 927M 15.4% 57996 normal normal note
2018-12-23__15:18 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 14 minutes] [0.98,0.87,0.76] 29941M 47.4% 927M 15.3% 54230 normal normal note
2018-12-23__15:19 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 15 minutes] [1.17,0.91,0.78] 29941M 47.4% 927M 15.3% 55306 normal normal note
2018-12-23__15:20 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 16 minutes] [0.81,0.84,0.76] 29941M 47.4% 927M 15.4% 56382 normal normal note
2018-12-23__15:21 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 17 minutes] [0.73,0.80,0.75] 29941M 47.4% 927M 15.4% 54768 normal normal note
2018-12-23__15:22 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 18 minutes] [0.91,0.82,0.76] 29941M 47.4% 927M 15.5% 55306 normal normal note
2018-12-23__15:23 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 19 minutes] [0.72,0.79,0.75] 29941M 47.4% 927M 15.7% 56920 normal normal note
2018-12-23__15:24 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 20 minutes] [0.84,0.83,0.77] 29941M 47.4% 927M 15.7% 55843 normal normal note
