2018-12-23__09:14 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 1 week, 9 minutes] [0.17,0.49,0.53] 41514M 40.9% 7843M 24.0% 27800 normal normal normal
2018-12-23__15:14 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 11 minutes] [0.42,0.36,0.36] 29941M 49.8% 927M 13.0% 47774 normal normal normal
2018-12-23__15:15 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 12 minutes] [0.61,0.44,0.38] 29941M 49.8% 927M 12.6% 46160 normal normal normal
2018-12-23__15:16 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 13 minutes] [0.65,0.48,0.40] 29941M 49.8% 927M 12.6% 47774 normal normal normal
2018-12-23__15:17 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 14 minutes] [0.66,0.50,0.41] 29941M 49.8% 927M 12.9% 47774 normal normal normal
2018-12-23__15:18 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 15 minutes] [0.57,0.53,0.43] 29941M 49.8% 927M 12.7% 46160 normal normal normal
2018-12-23__15:19 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 16 minutes] [0.67,0.57,0.45] 29941M 49.8% 927M 12.8% 47774 normal normal normal
2018-12-23__15:20 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 17 minutes] [0.63,0.62,0.48] 29941M 49.8% 927M 12.8% 46698 normal normal normal
2018-12-23__15:21 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 18 minutes] [0.88,0.70,0.51] 29941M 49.8% 927M 13.0% 48312 normal normal normal
2018-12-23__15:22 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 19 minutes] [0.50,0.63,0.50] 29941M 49.8% 927M 13.1% 47774 normal normal normal
2018-12-23__15:23 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 20 minutes] [1.07,0.75,0.55] 29941M 49.8% 927M 13.0% 46160 normal normal normal
2018-12-23__15:24 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 21 minutes] [0.58,0.67,0.54] 29941M 49.8% 927M 13.1% 47236 normal normal normal
2018-12-23__15:25 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 22 minutes] [0.54,0.64,0.54] 29941M 49.8% 927M 13.1% 47774 normal normal normal
2018-12-23__15:26 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 23 minutes] [0.47,0.60,0.53] 29941M 49.8% 927M 11.0% 46160 normal normal normal
2018-12-23__15:27 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 24 minutes] [0.43,0.57,0.52] 29941M 49.8% 927M 11.0% 46698 normal normal normal
2018-12-23__15:28 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 25 minutes] [0.40,0.54,0.52] 29941M 49.8% 927M 11.0% 48312 normal normal normal
2018-12-23__15:29 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 26 minutes] [0.56,0.58,0.53] 29941M 49.8% 927M 10.5% 48312 normal normal normal
2018-12-23__15:30 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 27 minutes] [1.60,0.83,0.62] 29941M 50.2% 927M 13.7% 48312 normal normal normal
2018-12-23__15:31 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 28 minutes] [0.92,0.80,0.62] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:32 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 29 minutes] [0.60,0.73,0.61] 29941M 49.8% 927M 10.5% 47236 normal normal normal
2018-12-23__15:33 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 30 minutes] [0.46,0.67,0.60] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:34 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 31 minutes] [0.45,0.64,0.59] 29941M 49.8% 927M 10.4% 46160 normal normal normal
2018-12-23__15:35 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 32 minutes] [0.33,0.56,0.57] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:36 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 33 minutes] [0.42,0.54,0.56] 29941M 49.8% 927M 10.5% 46698 normal normal normal
2018-12-23__15:37 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 34 minutes] [0.26,0.47,0.53] 29941M 49.8% 927M 10.5% 45084 normal normal normal
2018-12-23__15:38 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 35 minutes] [0.43,0.48,0.53] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:39 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 36 minutes] [0.27,0.42,0.51] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:40 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 37 minutes] [0.51,0.48,0.52] 29941M 49.8% 927M 10.5% 45622 normal normal normal
2018-12-23__15:41 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 38 minutes] [1.43,0.81,0.64] 29941M 49.8% 927M 10.4% 46160 normal normal normal
2018-12-23__15:42 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 39 minutes] [0.83,0.74,0.63] 29941M 49.8% 927M 10.5% 46160 normal normal normal
2018-12-23__15:43 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 40 minutes] [0.57,0.68,0.62] 29941M 49.8% 927M 10.6% 47774 normal normal normal
2018-12-23__15:44 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 41 minutes] [0.50,0.65,0.61] 29941M 49.8% 927M 10.5% 45084 normal normal normal
2018-12-23__15:46 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 42 minutes] [0.61,0.65,0.61] 29941M 49.8% 927M 10.4% 46160 normal normal normal
2018-12-23__15:47 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 43 minutes] [0.66,0.63,0.61] 29941M 49.8% 927M 10.5% 47236 normal normal normal
2018-12-23__15:48 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 44 minutes] [0.56,0.61,0.60] 29941M 49.8% 927M 10.4% 46160 normal normal normal
2018-12-23__15:49 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 45 minutes] [0.30,0.52,0.57] 29941M 49.8% 927M 10.8% 46160 normal normal normal
2018-12-23__15:50 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 46 minutes] [0.29,0.49,0.56] 29941M 49.8% 927M 10.8% 46160 normal normal normal
2018-12-23__15:51 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 47 minutes] [0.36,0.50,0.55] 29941M 49.8% 927M 11.0% 46160 normal normal normal
2018-12-23__15:52 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 48 minutes] [0.70,0.57,0.58] 29941M 49.8% 927M 10.8% 45622 normal normal normal
2018-12-23__15:53 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 49 minutes] [0.35,0.50,0.55] 29941M 49.8% 927M 11.0% 46160 normal normal normal
2018-12-23__15:54 pi10 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 50 minutes] [0.44,0.51,0.55] 29941M 49.8% 927M 10.8% 47236 normal normal normal
